2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 88, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 89, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 89, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 90, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 90, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 91, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 91, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 92, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 92, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 93, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 94, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 94, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 95, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 95, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 96, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 96, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 97, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 97, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 98, ack: 0 , fin: 0 
